"filename", "language", "Makefile", "Properties", "HTML", "C++", "comment", "blank", "total"
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/Makefile", "Makefile", 35, 0, 0, 0, 3, 13, 51
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/default.conf", "Properties", 0, 29, 0, 0, 7, 7, 43
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/errors/404.html", "HTML", 0, 0, 38, 0, 0, 0, 38
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/Client.hpp", "C++", 0, 0, 0, 24, 11, 7, 42
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/Config.hpp", "C++", 0, 0, 0, 16, 11, 4, 31
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/ConfigParser.hpp", "C++", 0, 0, 0, 35, 11, 9, 55
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/Location.hpp", "C++", 0, 0, 0, 29, 11, 9, 49
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/Request.hpp", "C++", 0, 0, 0, 29, 0, 5, 34
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/Server.hpp", "C++", 0, 0, 0, 40, 11, 11, 62
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/Signal.hpp", "C++", 0, 0, 0, 13, 11, 8, 32
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/Webserv.hpp", "C++", 0, 0, 0, 14, 12, 6, 32
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/ConfigTokens.cpp", "C++", 0, 0, 0, 125, 12, 33, 170
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/Definitions/Client.cpp", "C++", 0, 0, 0, 76, 11, 13, 100
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/Definitions/ConfigParser.cpp", "C++", 0, 0, 0, 107, 37, 19, 163
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/Definitions/Location.cpp", "C++", 0, 0, 0, 49, 30, 11, 90
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/Definitions/Request.cpp", "C++", 0, 0, 0, 88, 11, 17, 116
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/Definitions/Server.cpp", "C++", 0, 0, 0, 166, 11, 32, 209
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/Definitions/Signal.cpp", "C++", 0, 0, 0, 17, 11, 7, 35
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/LocationTokens.cpp", "C++", 0, 0, 0, 66, 11, 26, 103
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/Utils.cpp", "C++", 0, 0, 0, 75, 56, 11, 142
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/main.cpp", "C++", 0, 0, 0, 35, 11, 9, 55
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/www/index.html", "HTML", 0, 0, 58, 0, 0, 6, 64
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/www/thankyou.html", "HTML", 0, 0, 28, 0, 0, 3, 31
"Total", "-", 35, 29, 124, 1004, 289, 266, 1747
