"filename", "language", "C++", "Properties", "comment", "blank", "total"
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/default.conf", "Properties", 0, -1, 0, 0, -1
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/Client.hpp", "C++", 2, 0, 0, 2, 4
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/Config.hpp", "C++", -2, 0, 0, 1, -1
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/ConfigParser.hpp", "C++", -1, 0, 0, 2, 1
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/EpollState.hpp", "C++", 12, 0, 11, 4, 27
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/Location.hpp", "C++", -8, 0, 0, -1, -9
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/Request.hpp", "C++", -6, 0, 11, 3, 8
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/Response.hpp", "C++", -10, 0, 0, 1, -9
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/Server.hpp", "C++", -8, 0, 0, -1, -9
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/ServerManager.hpp", "C++", 23, 0, 11, 11, 45
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/Signal.hpp", "C++", 0, 0, 0, -1, -1
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/include/Webserv.hpp", "C++", 15, 0, 0, -2, 13
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/ConfigTokens.cpp", "C++", 9, 0, 0, 2, 11
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/Definitions/Client.cpp", "C++", -16, 0, 0, -1, -17
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/Definitions/ConfigParser.cpp", "C++", 6, 0, 0, 4, 10
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/Definitions/Location.cpp", "C++", -1, 0, 0, 7, 6
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/Definitions/Request.cpp", "C++", 3, 0, 0, 1, 4
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/Definitions/Response.cpp", "C++", 1, 0, 7, 1, 9
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/Definitions/Server.cpp", "C++", -45, 0, 0, -3, -48
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/Definitions/ServerManager.cpp", "C++", 112, 0, 11, 18, 141
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/Definitions/Signal.cpp", "C++", 0, 0, 0, 1, 1
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/LocationTokens.cpp", "C++", -66, 0, -11, -26, -103
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/Utils.cpp", "C++", -12, 0, 0, 1, -11
"/nfs/homes/kkonarze/Portfolio/Core/Project05/webserv/src/main.cpp", "C++", 1, 0, 0, 1, 2
"Total", "-", 9, -1, 40, 25, 73
